,y_predicted,y_test
2016-01-04,2.0,3.0
2016-01-07,2.0,3.0
2016-01-11,2.0,4.0
2016-01-14,2.0,2.0
2016-01-18,2.0,2.0
2016-01-21,2.0,3.0
2016-01-25,2.0,2.0
2016-01-28,2.0,2.0
2016-02-01,2.0,2.0
2016-02-04,2.0,3.0
2016-02-08,2.0,3.0
2016-02-11,2.0,2.0
2016-02-15,0.0,2.0
2016-02-18,0.0,2.0
2016-02-22,0.0,4.0
2016-02-25,0.0,4.0
2016-02-29,0.0,3.0
2016-03-03,0.0,3.0
2016-03-07,0.0,4.0
2016-03-10,0.0,2.0
2016-03-14,0.0,2.0
2016-03-17,0.0,2.0
2016-03-21,0.0,2.0
2016-03-24,0.0,2.0
2016-03-28,0.0,2.0
2016-03-31,0.0,2.0
2016-04-04,2.0,0.0
2016-04-07,2.0,0.0
2016-04-11,2.0,0.0
2016-04-14,2.0,0.0
2016-04-18,2.0,2.0
2016-04-21,2.0,2.0
2016-04-25,2.0,2.0
2016-04-28,2.0,0.0
2016-05-02,2.0,2.0
2016-05-05,0.0,2.0
2016-05-09,2.0,2.0
2016-05-12,2.0,0.0
2016-05-16,2.0,1.0
2016-05-19,0.0,1.0
2016-05-23,0.0,4.0
2016-05-26,0.0,1.0
2016-05-30,0.0,4.0
2016-06-02,2.0,1.0
2016-06-06,2.0,1.0
2016-06-09,2.0,0.0
2016-06-13,0.0,0.0
2016-06-16,0.0,0.0
2016-06-20,0.0,4.0
2016-06-23,0.0,4.0
2016-06-27,0.0,4.0
2016-06-30,0.0,1.0
2016-07-04,2.0,1.0
2016-07-07,0.0,1.0
2016-07-11,0.0,2.0
2016-07-14,0.0,2.0
2016-07-18,0.0,1.0
2016-07-21,0.0,1.0
2016-07-25,0.0,4.0
2016-07-28,0.0,0.0
2016-08-01,0.0,4.0
2016-08-04,0.0,3.0
2016-08-08,0.0,1.0
2016-08-11,0.0,1.0
2016-08-15,0.0,2.0
2016-08-18,0.0,1.0
2016-08-22,0.0,1.0
2016-08-25,0.0,3.0
2016-08-29,0.0,1.0
2016-09-01,0.0,2.0
2016-09-05,0.0,4.0
2016-09-08,0.0,3.0
2016-09-12,0.0,4.0
2016-09-15,0.0,1.0
2016-09-19,0.0,2.0
2016-09-22,0.0,2.0
2016-09-26,0.0,2.0
2016-09-29,0.0,2.0
2016-10-03,0.0,3.0
2016-10-06,0.0,3.0
2016-10-10,2.0,1.0
2016-10-13,0.0,4.0
2016-10-17,0.0,0.0
2016-10-20,0.0,0.0
2016-10-24,0.0,0.0
2016-10-27,0.0,0.0
2016-10-31,0.0,0.0
2016-11-03,0.0,0.0
2016-11-07,0.0,4.0
2016-11-10,0.0,0.0
2016-11-14,0.0,0.0
2016-11-17,0.0,0.0
2016-11-21,0.0,4.0
2016-11-24,0.0,1.0
2016-11-28,0.0,1.0
2016-12-01,2.0,1.0
2016-12-05,2.0,3.0
2016-12-08,2.0,3.0
2016-12-12,2.0,3.0
2016-12-15,2.0,3.0
2016-12-19,2.0,0.0
2016-12-22,2.0,1.0
2016-12-26,2.0,1.0
2016-12-29,0.0,1.0
2017-01-02,2.0,0.0
2017-01-05,2.0,0.0
2017-01-09,2.0,3.0
2017-01-12,0.0,3.0
2017-01-16,0.0,3.0
2017-01-19,0.0,2.0
2017-01-23,0.0,1.0
2017-01-26,0.0,1.0
2017-01-30,0.0,1.0
2017-02-02,0.0,0.0
2017-02-06,2.0,0.0
2017-02-09,2.0,0.0
2017-02-13,0.0,1.0
2017-02-16,0.0,1.0
2017-02-20,0.0,1.0
2017-02-23,0.0,1.0
2017-02-27,0.0,1.0
2017-03-02,2.0,1.0
2017-03-06,2.0,1.0
2017-03-09,2.0,1.0
2017-03-13,3.0,1.0
2017-03-16,2.0,1.0
2017-03-20,2.0,0.0
2017-03-23,2.0,4.0
2017-03-27,2.0,3.0
2017-03-30,2.0,4.0
2017-04-03,0.0,2.0
2017-04-06,0.0,4.0
2017-04-10,2.0,0.0
2017-04-13,2.0,4.0
2017-04-17,2.0,3.0
2017-04-20,2.0,2.0
2017-04-24,2.0,2.0
2017-04-27,2.0,4.0
2017-05-01,2.0,3.0
2017-05-04,2.0,3.0
2017-05-08,2.0,0.0
2017-05-11,2.0,2.0
2017-05-15,2.0,2.0
2017-05-18,2.0,3.0
2017-05-22,2.0,3.0
2017-05-25,2.0,3.0
2017-05-29,2.0,2.0
2017-06-01,2.0,2.0
2017-06-05,2.0,3.0
2017-06-08,2.0,3.0
2017-06-12,2.0,4.0
2017-06-15,2.0,3.0
2017-06-19,2.0,3.0
2017-06-22,2.0,3.0
2017-06-26,2.0,4.0
2017-06-29,2.0,4.0
2017-07-03,2.0,4.0
2017-07-06,2.0,4.0
2017-07-10,2.0,1.0
2017-07-13,2.0,1.0
2017-07-17,2.0,2.0
2017-07-20,2.0,2.0
2017-07-24,2.0,4.0
2017-07-27,2.0,4.0
2017-07-31,2.0,3.0
2017-08-03,2.0,3.0
2017-08-07,2.0,3.0
2017-08-10,2.0,4.0
2017-08-14,2.0,3.0
2017-08-17,2.0,3.0
2017-08-21,2.0,3.0
2017-08-24,2.0,3.0
2017-08-28,0.0,3.0
2017-08-31,2.0,0.0
2017-09-04,2.0,4.0
2017-09-07,2.0,3.0
2017-09-11,2.0,1.0
2017-09-14,0.0,2.0
2017-09-18,0.0,1.0
2017-09-21,2.0,0.0
2017-09-25,2.0,2.0
2017-09-28,3.0,2.0
2017-10-02,2.0,2.0
2017-10-05,3.0,2.0
2017-10-09,2.0,3.0
2017-10-12,2.0,2.0
2017-10-16,0.0,0.0
2017-10-19,0.0,0.0
2017-10-23,2.0,1.0
2017-10-26,2.0,1.0
2017-10-30,2.0,1.0
2017-11-02,2.0,1.0
2017-11-06,2.0,1.0
2017-11-09,2.0,1.0
2017-11-13,2.0,2.0
2017-11-16,2.0,0.0
2017-11-20,2.0,0.0
2017-11-23,2.0,0.0
2017-11-27,2.0,2.0
2017-11-30,2.0,2.0
2017-12-04,2.0,0.0
2017-12-07,2.0,0.0
2017-12-11,3.0,2.0
2017-12-14,2.0,2.0
2017-12-18,2.0,2.0
2017-12-21,2.0,4.0
2017-12-25,2.0,0.0
2017-12-28,2.0,2.0
2018-01-01,2.0,2.0
